...1,ns,title,pageid,size,wordcount,snippet,timestamp,query_string,category,jac,lev
2,14,Category:Synthesizer electronics,36437273,541,48,"circuitry <span class=""searchmatch"">of</span> electrophones; characteristics <span class=""searchmatch"">of</span> <span class=""searchmatch"">electronic</span> circuits used in <span class=""searchmatch"">electronic</span> music and; principles, math, or <span class=""searchmatch"">theories</span> used to engineer <span class=""searchmatch"">electronic</span> music",2020-10-10T22:52:48Z,theory of electronic,Synthesizer electronics,0.6551724137931034,10
4,14,Category:Filter theory,1866651,318,23,"Wikimedia Commons has media related to <span class=""searchmatch"">Electronic</span> filters.",2020-01-04T09:45:00Z,theory of electronic,Filter theory,0.84,17
5,14,Category:Density functional theory,2865531,117,0,NA,2019-11-28T04:08:31Z,theory of electronic,Density functional theory,0.8918918918918919,21
0,14,Category:Theory of cryptography,3539694,230,29,"<span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> cryptography refers to the study <span class=""searchmatch"">of</span> cryptographic algorithms and protocols in a <span class=""searchmatch"">formal</span> framework. The two main goals <span class=""searchmatch"">of</span> the study are definitions",2013-03-23T14:34:47Z,theory of formal,Theory of cryptography,0.7407407407407407,11
1,14,Category:Formal theories of arithmetic,11504157,228,23,"These systems provide a logical framework and a set <span class=""searchmatch"">of</span> axioms for the <span class=""searchmatch"">formal</span> study <span class=""searchmatch"">of</span> arithmetic in the context <span class=""searchmatch"">of</span> mathematical logic.",2015-09-30T17:20:28Z,theory of formal,Formal theories of arithmetic,0.7575757575757576,19
2,14,Category:Mathematical logic,693685,993,143,"referred to symbolic or <span class=""searchmatch"">formal</span> logic, and then came to be associated with the study <span class=""searchmatch"">of</span> the logical (and even philosophical) foundations <span class=""searchmatch"">of</span> mathematics. In contemporary",2020-04-22T19:22:12Z,theory of formal,Mathematical logic,0.9655172413793104,14
4,14,Category:Information theory,694025,597,43,"Articles relating to information <span class=""searchmatch"">theory</span>, which studies the quantification, storage, and communication <span class=""searchmatch"">of</span> information. Top 0–9 A B C D E F G H I J K L",2020-12-13T00:23:18Z,theory of formal,Information theory,0.6956521739130435,14
5,14,Category:Systems of set theory,7405444,385,44,"In set <span class=""searchmatch"">theory</span>, there are several different Systems <span class=""searchmatch"">of</span> set <span class=""searchmatch"">theory</span> — lists <span class=""searchmatch"">of</span> axioms organized around a concept <span class=""searchmatch"">of</span> what set <span class=""searchmatch"">theory</span> should be. This category",2013-03-30T10:31:36Z,theory of formal,Systems of set theory,0.7777777777777778,17
8,14,Category:Formal theories,24825997,105,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Formal</span> <span class=""searchmatch"">theories</span>.",2020-10-04T10:23:11Z,theory of formal,Formal theories,0.7142857142857143,13
9,14,Category:Mathematical axioms,3439784,226,4,"Category:<span class=""searchmatch"">Formal</span> <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> arithmetic",2020-07-05T04:29:07Z,theory of formal,Mathematical axioms,0.9666666666666667,15
0,14,Category:Electroweak theory,2019527,355,25,"contains articles that deal with the electroweak interaction, a well-established physical <span class=""searchmatch"">theory</span> that <span class=""searchmatch"">forms</span> part <span class=""searchmatch"">of</span> the standard model <span class=""searchmatch"">of</span> particle physics.",2021-10-03T22:01:17Z,theory of ' forms,Electroweak theory,0.8518518518518519,14
2,14,Category:Forms of government,737235,545,13,"<span class=""searchmatch"">Forms</span> <span class=""searchmatch"">of</span> government are sets <span class=""searchmatch"">of</span> constitutional institutions by which states are organized.",2021-09-02T11:22:29Z,theory of ' forms,Forms of government,0.8571428571428572,13
3,14,Category:Perturbation theory,4948907,310,30,"perturbation <span class=""searchmatch"">theory</span> and variational principles, which commonly occur in the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> differential equations, with problems in quantum mechanics <span class=""searchmatch"">forming</span> an important",2020-11-02T22:49:34Z,theory of ' forms,Perturbation theory,0.8571428571428572,15
6,14,Category:Surgery theory,20120500,420,42,"a medical operation. In mathematics, specifically in topology, surgery <span class=""searchmatch"">theory</span> is a cutting and glueing technique used to modify manifolds, and is the",2011-02-12T18:43:05Z,theory of ' forms,Surgery theory,0.7727272727272727,13
7,14,Category:Moonshine theory,23087663,242,20,"Moonshine <span class=""searchmatch"">theory</span> is a branch <span class=""searchmatch"">of</span> mathematics that deals with the connections between finite simple groups and modular functions etc.",2005-03-06T22:13:17Z,theory of ' forms,Moonshine theory,0.84,14
0,14,Category:Conflict theory,58293505,889,86,"contrast <span class=""searchmatch"">historically</span> dominant ideologies. It is therefore a macro-level analysis <span class=""searchmatch"">of</span> society. Karl Marx is regarded as the father <span class=""searchmatch"">of</span> social conflict <span class=""searchmatch"">theory</span>, which",2021-05-01T23:36:09Z,theory of historical,Conflict theory,0.8518518518518519,17
3,14,Category:English Marxists,11180202,661,63,"who have supported Marxism, a <span class=""searchmatch"">theory</span> and method <span class=""searchmatch"">of</span> working-class self-emancipation. As a <span class=""searchmatch"">theory</span>, it relies on a method <span class=""searchmatch"">of</span> socioeconomic analysis that views",2021-11-08T12:50:55Z,theory of historical,English Marxists,0.967741935483871,17
4,14,Category:Biblical studies organizations,57907459,576,55,"academic application <span class=""searchmatch"">of</span> a set <span class=""searchmatch"">of</span> diverse disciplines to the study <span class=""searchmatch"">of</span> the Bible (the Tanakh and the New Testament). For its <span class=""searchmatch"">theory</span> and methods, the field",2021-04-03T09:25:28Z,theory of historical,Biblical studies organizations,0.9545454545454546,23
5,14,Category:French biblical scholars,30605592,454,41,"French scholars in the field <span class=""searchmatch"">of</span> biblical studies. For its <span class=""searchmatch"">theory</span> and methods, the field draws on disciplines ranging from archaeology, ancient history",2019-11-08T13:01:31Z,theory of historical,French biblical scholars,0.9473684210526316,19
6,14,Category:Obsolete medical terms,18870723,306,26,"See also Category:Obsolete medical <span class=""searchmatch"">theories</span> This is a category for the many <span class=""searchmatch"">historical</span> medical terms which are no longer used in current medical and psychiatric",2020-12-01T03:42:00Z,theory of historical,Obsolete medical terms,0.9444444444444444,20
8,14,Category:Anarchism,780754,1377,88,"as the libertarian wing (libertarian socialism) <span class=""searchmatch"">of</span> the socialist movement and as having a <span class=""searchmatch"">historical</span> association with anti-capitalism and socialism. For",2021-01-16T08:30:08Z,theory of historical,Anarchism,0.9583333333333334,16
0,14,Category:Theories of history,4220365,268,50,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">history</span> are <span class=""searchmatch"">theories</span> for why things happened the way they did (and possibly what that means for the future). Top 0–9 A B C D E F G H I J K",2020-04-30T20:24:56Z,theory of history,Theories of history,0.44999999999999996,4
1,14,Category:Conflict theory,58293505,889,86,"conflict <span class=""searchmatch"">theories</span>, perspectives in sociology and social psychology that emphasize a materialist interpretation <span class=""searchmatch"">of</span> <span class=""searchmatch"">history</span>, dialectical method <span class=""searchmatch"">of</span> analysis",2021-05-01T23:36:09Z,theory of history,Conflict theory,0.8260869565217391,13
3,14,Category:Archaeological theory,1863738,700,83,"Archaeological <span class=""searchmatch"">theory</span> covers the debates over the practice <span class=""searchmatch"">of</span> archaeology and the interpretation <span class=""searchmatch"">of</span> archaeological results. There is no single <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> archaeology",2019-02-01T19:11:06Z,theory of history,Archaeological theory,0.8620689655172413,15
4,14,Category:Music theory,736492,633,66,"Music <span class=""searchmatch"">theory</span> is a set <span class=""searchmatch"">of</span> systems for analyzing, classifying, and composing music and the elements <span class=""searchmatch"">of</span> music. Narrowly it may be defined as the description",2020-02-26T02:02:42Z,theory of history,Music theory,0.8,12
6,14,Category:Visual arts theory,12270152,164,9,"Philosophy portal See also, for general arts <span class=""searchmatch"">theory</span>: Category:Aesthetics",2019-10-06T22:44:41Z,theory of history,Visual arts theory,0.8461538461538461,14
0,14,Category:Social learning theory,16162632,483,50,"Social <span class=""searchmatch"">learning</span> <span class=""searchmatch"">theory</span> is a <span class=""searchmatch"">theory</span> to explain how people (or animals) learn behavior. People may learn through observing and consequently copy others'",2018-12-31T21:29:54Z,theory of learning,Social learning theory,0.56,15
1,14,Category:Learning theory (education),16163925,372,25,"education, <span class=""searchmatch"">learning</span> <span class=""searchmatch"">theories</span> are attempts to describe how people and animals learn, thereby helping us understand the inherently complex process <span class=""searchmatch"">of</span> <span class=""searchmatch"">learning</span>.",2021-09-27T07:39:41Z,theory of learning,Learning theory (education),0.6774193548387097,18
6,14,Category:Computational learning theory,34310097,115,0,NA,2013-04-17T17:50:18Z,theory of learning,Computational learning theory,0.65625,19
7,14,Category:Philosophy of language,744038,730,73,"include the nature of linguistic meaning, reference, language use, language <span class=""searchmatch"">learning</span> and creation, language understanding, truth, thought and experience (to",2020-04-25T17:59:38Z,theory of learning,Philosophy of language,0.875,13
9,14,Category:Education theory,11719938,130,0,"Wikimedia Commons has media related to Education <span class=""searchmatch"">theory</span>.",2021-04-10T14:55:13Z,theory of learning,Education theory,0.8461538461538461,15
0,14,Category:Lexicographers,752496,338,13,"Lexicographers, people who specialise in the <span class=""searchmatch"">theory</span> and practice <span class=""searchmatch"">of</span> dictionary making, <span class=""searchmatch"">Lexicography</span>.",2021-09-26T08:08:26Z,theory of lexicography,Lexicographers,0.6666666666666667,14
1,14,Category:Analysis of collective decision-making,5038387,145,5,"Analysis <span class=""searchmatch"">of</span> collective decision-<span class=""searchmatch"">making</span>",2017-01-26T17:34:25Z,theory of making,Analysis of collective decision-making,0.8636363636363636,28
4,14,Category:Theoretical physics,691938,758,88,"world by <span class=""searchmatch"">making</span> a model <span class=""searchmatch"">of</span> reality, used for rationalizing, explaining, and predicting physical phenomena in what are called &quot;physical <span class=""searchmatch"">theories</span>.&quot; There",2021-02-01T13:13:59Z,theory of making,Theoretical physics,0.9310344827586207,13
5,14,Category:Decision theory,946910,301,0,"Wikimedia Commons has media related to Decision <span class=""searchmatch"">theory</span>.",2017-06-20T06:18:10Z,theory of making,Decision theory,0.8260869565217391,13
6,14,Category:Social choice theory,5389513,323,0,"Social choice <span class=""searchmatch"">theory</span> is included in the JEL classification codes as JEL: D71",2018-05-17T13:59:49Z,theory of making,Social choice theory,0.8571428571428572,17
7,14,Category:Engineering economics,65154616,1123,115,"focuses on the decision <span class=""searchmatch"">making</span> process, its context and environment. It is pragmatic by nature, integrating economic <span class=""searchmatch"">theory</span> with engineering practice",2021-09-27T06:10:08Z,theory of making,Engineering economics,0.96875,17
8,14,Category:Decision-making paradoxes,25456981,100,0,NA,2017-11-15T15:58:10Z,theory of making,Decision-making paradoxes,0.8787878787878788,18
9,14,Category:Public choice theory,1233922,276,0,"Wikimedia Commons has media related to Public choice <span class=""searchmatch"">theory</span>.",2018-04-02T21:31:40Z,theory of making,Public choice theory,0.8571428571428572,17
0,14,Category:Dispute resolution,885378,650,90,"the process <span class=""searchmatch"">of</span> resolving disputes between parties and includes lawsuits (litigation), arbitration, <span class=""searchmatch"">mediation</span>, conciliation, and many types <span class=""searchmatch"">of</span> negotiation",2021-01-28T14:15:13Z,theory of mediation,Dispute resolution,0.935483870967742,14
1,14,Category:Theories of language,22337303,120,0,"Direct reference <span class=""searchmatch"">theory</span> Dramatism Dynamic semantics Expressivism Inquisitive semantics Linguistic determinism <span class=""searchmatch"">Mediated</span> reference <span class=""searchmatch"">theory</span> Nominalism Non-cognitivism",2017-11-16T16:13:15Z,theory of mediation,Theories of language,0.8709677419354839,13
2,14,Category:Philosophy of language,744038,730,73,"Philosophy <span class=""searchmatch"">of</span> language is the branch <span class=""searchmatch"">of</span> philosophy that studies language. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, language",2020-04-25T17:59:38Z,theory of mediation,Philosophy of language,0.9117647058823529,16
0,14,Category:Inner model theory,3796482,597,72,"Inner <span class=""searchmatch"">model</span> <span class=""searchmatch"">theory</span> is the study <span class=""searchmatch"">of</span> certain <span class=""searchmatch"">models</span> <span class=""searchmatch"">of</span> ZFC or some fragment or strengthening thereof. Ordinarily these <span class=""searchmatch"">models</span> are transitive subsets or",2011-04-08T08:02:35Z,theory of models,Inner model theory,0.6363636363636364,15
1,14,Category:Model theory,693979,550,71,"mathematics, <span class=""searchmatch"">model</span> <span class=""searchmatch"">theory</span> is the study <span class=""searchmatch"">of</span> (classes <span class=""searchmatch"">of</span>) mathematical structures such as groups, fields, graphs or even <span class=""searchmatch"">models</span> <span class=""searchmatch"">of</span> set <span class=""searchmatch"">theory</span> using tools",2020-04-22T19:22:34Z,theory of models,Model theory,0.6666666666666667,14
2,14,Category:Exactly solvable models,2621841,512,55,"with exactly solvable <span class=""searchmatch"">models</span> or integrable systems in physics, and specifically in statistical mechanics, quantum field <span class=""searchmatch"">theory</span> and fluid mechanics. There",2013-03-23T12:37:29Z,theory of models,Exactly solvable models,0.8333333333333334,13
3,14,Category:Game theory,774008,644,66,"Game <span class=""searchmatch"">theory</span> is a branch <span class=""searchmatch"">of</span> mathematics that uses <span class=""searchmatch"">models</span> to study interactions with formalized incentive structures (&quot;games&quot;). It has applications in a",2020-07-27T20:12:23Z,theory of models,Game theory,0.7894736842105263,14
5,14,Category:Theory of computation,3233312,465,46,"computer science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation is the branch that deals with whether and how efficiently problems can be solved on a <span class=""searchmatch"">model</span> <span class=""searchmatch"">of</span> computation, using",2020-01-28T20:25:57Z,theory of models,Theory of computation,0.7307692307692308,11
6,14,Category:Quantum models,1880678,625,73,"The category <span class=""searchmatch"">of</span> quantum <span class=""searchmatch"">models</span> encompasses a variety <span class=""searchmatch"">of</span> exactly solvable problems in quantum mechanics. Each exactly solvable problem is <span class=""searchmatch"">of</span> interest for",2021-11-06T00:32:31Z,theory of models,Quantum models,0.7619047619047619,9
7,14,Category:Computer security models,4750783,212,21,"This category contains articles describing computer security <span class=""searchmatch"">models</span> that are or have been used in practical systems or proposed in <span class=""searchmatch"">theory</span>.",2019-10-25T10:10:12Z,theory of models,Computer security models,0.8387096774193549,15
8,14,Category:Models of computation,31036668,435,48,"The category <span class=""searchmatch"">of</span> Computational <span class=""searchmatch"">Models</span> lists abstract <span class=""searchmatch"">models</span> for investigating computing machines. Standard computational <span class=""searchmatch"">models</span> assume discrete time paradigm",2020-07-27T20:12:23Z,theory of models,Models of computation,0.8214285714285714,16
1,14,Category:Mathematical chemistry,15689672,454,45,"chemistry (computer chemistry) is the area <span class=""searchmatch"">of</span> research engaged in the <span class=""searchmatch"">novel</span> and nontrivial applications <span class=""searchmatch"">of</span> mathematics to chemistry; it concerns itself",2021-03-28T13:11:50Z,theory of novel,Mathematical chemistry,0.967741935483871,18
1,14,Category:Poetic form,696979,169,29,Top 0–9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,2020-05-06T19:23:43Z,theory of poetic,Poetic form,0.85,12
3,14,Category:Literature about poetry,32553954,265,0,NA,2018-07-09T08:13:01Z,theory of poetic,Literature about poetry,0.90625,14
0,14,Category:Social learning theory,16162632,483,50,"<span class=""searchmatch"">Social</span> learning <span class=""searchmatch"">theory</span> is a <span class=""searchmatch"">theory</span> to explain how people (or animals) learn behavior. People may learn through observing and consequently copy others'",2018-12-31T21:29:54Z,theory of social,Social learning theory,0.7407407407407407,19
1,14,Category:Social constructionism,4228486,836,54,"Articles relating to <span class=""searchmatch"">social</span> constructionism, a <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> knowledge in sociology and communication <span class=""searchmatch"">theory</span> that examines the development <span class=""searchmatch"">of</span> jointly-constructed",2021-09-27T08:07:59Z,theory of social,Social constructionism,0.9032258064516129,18
2,14,Category:Organizational theory,1030978,553,50,"to organizational <span class=""searchmatch"">theory</span>, which consists <span class=""searchmatch"">of</span> many approaches to organizational analysis. &quot;Organizations&quot; are defined as <span class=""searchmatch"">social</span> units <span class=""searchmatch"">of</span> people that are structured",2020-12-31T18:12:12Z,theory of social,Organizational theory,0.8620689655172413,19
3,14,Category:Conflict theory,58293505,889,86,"conflict <span class=""searchmatch"">theories</span>, perspectives in sociology and <span class=""searchmatch"">social</span> psychology that emphasize a materialist interpretation <span class=""searchmatch"">of</span> history, dialectical method <span class=""searchmatch"">of</span> analysis",2021-05-01T23:36:09Z,theory of social,Conflict theory,0.8260869565217391,15
4,14,Category:Functionalism (social theory),36599442,228,21,"This category is for all <span class=""searchmatch"">social</span> <span class=""searchmatch"">theories</span> and theorists related to functionalism. For other meanings <span class=""searchmatch"">of</span> the word, see Functionalism (disambiguation).",2019-10-24T21:17:28Z,theory of social,Functionalism (social theory),0.7575757575757576,21
5,14,Category:Social philosophy,771308,749,100,"questions, and to the development <span class=""searchmatch"">of</span> novel theoretical frameworks, from <span class=""searchmatch"">social</span> ontology to care ethics to cosmopolitan <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> democracy, human rights, gender",2021-09-11T21:52:22Z,theory of social,Social philosophy,0.8846153846153846,15
6,14,Category:Game theory,774008,644,66,"Game <span class=""searchmatch"">theory</span> is a branch <span class=""searchmatch"">of</span> mathematics that uses models to study interactions with formalized incentive structures (&quot;games&quot;). It has applications in a",2020-07-27T20:12:23Z,theory of social,Game theory,0.7894736842105263,14
7,14,Category:Role theory,34742397,623,83,"the role <span class=""searchmatch"">theory</span>, a concept in sociology and in <span class=""searchmatch"">social</span> psychology that considers most <span class=""searchmatch"">of</span> everyday activity to be the acting-out <span class=""searchmatch"">of</span> <span class=""searchmatch"">socially</span> defined categories",2021-11-08T10:53:42Z,theory of social,Role theory,0.7894736842105263,13
8,14,Category:Prospect theory,35586938,347,7,"Classification: <span class=""searchmatch"">Social</span> psychology: Behavioral economics: Prospect <span class=""searchmatch"">theory</span>",2018-04-02T21:23:16Z,theory of social,Prospect theory,0.8260869565217391,14
0,14,Category:Statistics educators,27363556,858,54,"made notable contributions to <span class=""searchmatch"">statistics</span> education, i.e. the teaching and learning <span class=""searchmatch"">of</span> <span class=""searchmatch"">statistics</span> (including both <span class=""searchmatch"">theory</span> and practice). Statisticians involved",2019-09-17T11:11:47Z,theory of statistics,Statistics educators,0.7586206896551724,17
1,14,Category:Matrix theory,692453,398,69,"but soon it grew to cover subjects related to graph <span class=""searchmatch"">theory</span>, algebra, combinatorics and <span class=""searchmatch"">statistics</span> as well. Top 0–9 A B C D E F G H I J K L M N O P Q R",2020-10-03T04:03:42Z,theory of statistics,Matrix theory,0.84,17
2,14,Category:Applied mathematics,966983,943,107,"mathematical biology and bioinformatics, information <span class=""searchmatch"">theory</span>, game <span class=""searchmatch"">theory</span>, probability and <span class=""searchmatch"">statistics</span>, financial mathematics, actuarial science, cryptography",2020-05-11T18:04:38Z,theory of statistics,Applied mathematics,0.8666666666666667,15
3,14,Category:Mathematical and quantitative methods (economics),4822234,396,15,"Mathematical and quantitative methods in economics include mathematical modelling, optimization, game <span class=""searchmatch"">theory</span>, <span class=""searchmatch"">statistics</span> and econometrics.",2018-02-27T21:59:52Z,theory of statistics,Mathematical and quantitative methods (economics),0.9152542372881356,36
4,14,Category:Mathematics stubs,1676945,2765,192,"{{mathematician-stub}} Number stubs: {{num-stub}} Number <span class=""searchmatch"">theory</span> stubs: {{numtheory-stub}} <span class=""searchmatch"">Statistics</span> stubs: {{<span class=""searchmatch"">statistics</span>-stub}} Econometrics stubs: {{econometrics-stub}}",2020-12-27T09:26:07Z,theory of statistics,Mathematics stubs,0.8214285714285714,15
5,14,Category:Econometrics,946892,571,42,"and relationships. It is a combination of mathematical economics, economic <span class=""searchmatch"">statistics</span>, and economic <span class=""searchmatch"">theory</span>. See also: requested terms in Econometrics",2021-06-05T11:00:26Z,theory of statistics,Econometrics,0.962962962962963,14
6,14,Category:Asymptotic theory (statistics),31180880,108,0,NA,2016-11-25T09:49:52Z,theory of statistics,Asymptotic theory (statistics),0.59375,15
7,14,Category:Statistical mechanics,958609,1028,131,"mechanics is the application <span class=""searchmatch"">of</span> probability <span class=""searchmatch"">theory</span>, which includes mathematical tools for dealing with large populations, to the field <span class=""searchmatch"">of</span> Mechanics, which is concerned",2020-12-20T19:38:49Z,theory of statistics,Statistical mechanics,0.7666666666666666,17
8,14,Category:Logic stubs,12198154,490,214,"Discussion Assessment Philosophy Assessment Logic Index Logic Log Logic <span class=""searchmatch"">Statistics</span> Mathematics Wikipedia 1.0 Mathematical logic Index Logic task force resources",2021-01-01T11:04:00Z,theory of statistics,Logic stubs,0.9615384615384616,15
9,14,Category:U-statistics,39274925,139,0,NA,2016-11-25T09:50:18Z,theory of statistics,U-statistics,0.6,10
1,14,Category:Health effects of alcohol,47240138,217,2,"family systems Collaborative Study on the Genetics <span class=""searchmatch"">of</span> Alcoholism College student alcoholism Disease <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> alcoholism High-functioning alcoholic (HFA) Seeing",2021-03-14T10:35:58Z,theory of suspensions,Health effects of alcohol,0.95,21
5,14,Category:Matrix normal forms,1087836,161,19,"A matrix normal form or matrix canonical form describes the <span class=""searchmatch"">transformation</span> <span class=""searchmatch"">of</span> a matrix to another with special properties.",2017-02-01T23:26:04Z,theory of transformational,Matrix normal forms,0.9189189189189189,19
6,14,Category:Program transformation,30677368,83,0,NA,2014-05-08T09:46:49Z,theory of transformational,Program transformation,0.5806451612903225,10
1,14,Category:Scholars of Marxism,4328401,517,53,"listed do not identify themselves as belonging within the tradition <span class=""searchmatch"">of</span> Marxist <span class=""searchmatch"">theory</span>, but nonetheless wish to engage that tradition intellectually.",2021-05-22T21:37:23Z,theory of writing,Scholars of Marxism,0.9333333333333333,12
3,14,Category:Environmental humanities,38425257,198,0,"science Property <span class=""searchmatch"">theory</span> (common property) Sexecology Science, technology and society science studies Simple living Slow food Spirit <span class=""searchmatch"">of</span> place Sustainability",2019-03-24T09:57:33Z,theory of writing,Environmental humanities,0.9722222222222222,19
5,14,Category:Early modern Netherlandish cartography,64095581,817,16,"(hypothesis/<span class=""searchmatch"">theory</span>) Method <span class=""searchmatch"">of</span> determining longitude at sea by means <span class=""searchmatch"">of</span> timekeepers/chronometers Optical telescope (invention and history <span class=""searchmatch"">of</span> the telescope)",2021-10-05T00:41:18Z,theory of writing,Early modern Netherlandish cartography,0.98,32
0,14,Category:Electoral system criteria,1164450,82,0,NA,2017-04-14T16:48:45Z,theories of electoral,Electoral system criteria,0.8333333333333334,18
0,14,Category:Gender theories,63068457,115,4,"Social <span class=""searchmatch"">theories</span> on <span class=""searchmatch"">gender</span>.",2020-02-14T18:27:16Z,theories of gender,Gender theories,0.55,14
1,14,Category:Gender roles,38621123,1314,97,"Articles relating to <span class=""searchmatch"">gender</span> roles, social roles encompassing a range <span class=""searchmatch"">of</span> behaviors and attitudes that are generally considered acceptable, appropriate,",2021-11-08T10:45:04Z,theories of gender,Gender roles,0.8695652173913043,14
3,14,Category:Non-binary gender,61827911,360,25,"(also spelled nonbinary) is an umbrella term for <span class=""searchmatch"">gender</span> identities that are neither male nor female‍—‌identities that are outside the <span class=""searchmatch"">gender</span> binary.",2021-04-23T05:27:05Z,theories of gender,Non-binary gender,0.8076923076923077,10
5,14,Category:Gender studies stubs,10643689,268,0,"articles relating to <span class=""searchmatch"">gender</span> studies. You can help by expanding them. To add an article to this category, use {{<span class=""searchmatch"">gender</span>-studies-stub}} instead <span class=""searchmatch"">of</span> {{stub}}.",2021-05-25T18:00:39Z,theories of gender,Gender studies stubs,0.8148148148148149,18
7,14,Category:Gender studies,696920,281,2,"Wikimedia Commons has media related to <span class=""searchmatch"">Gender</span> studies.",2020-04-25T19:16:24Z,theories of gender,Gender studies,0.8333333333333334,14
9,14,Category:Gender in film,44145171,79,0,NA,2020-02-16T21:08:13Z,theories of gender,Gender in film,0.88,14
0,14,Category:Information theory,694025,597,43,"Articles relating to <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>, which studies the quantification, storage, and communication <span class=""searchmatch"">of</span> <span class=""searchmatch"">information</span>. Top 0–9 A B C D E F G H I J K L",2020-12-13T00:23:18Z,theories of information,Information theory,0.5769230769230769,17
1,14,Category:Quantum information theory,1159516,424,29,"Quantum <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span> is a generalization <span class=""searchmatch"">of</span> classical <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span> to use quantum-mechanical particles and interference. It is used in the",2013-03-29T05:31:28Z,theories of information,Quantum information theory,0.59375,18
2,14,Category:Entropy and information,9910848,625,69,"relating to entropy and <span class=""searchmatch"">information</span> in <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>. The lead article for this category is Entropy (<span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>). To be distinguished from:",2019-12-02T04:34:39Z,theories of information,Entropy and information,0.6875,10
3,14,Category:Information architecture,52912241,400,13,"Concepts, methodologies and topics related to the practice and <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">information</span> architecture.",2020-02-24T17:00:59Z,theories of information,Information architecture,0.7714285714285715,19
5,14,Category:Graph theory,691898,1075,146,"Mathematics portal Graph <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> mathematics that examines the properties <span class=""searchmatch"">of</span> mathematical graphs. See glossary <span class=""searchmatch"">of</span> graph <span class=""searchmatch"">theory</span> for common terms",2021-08-26T18:06:47Z,theories of information,Graph theory,0.8928571428571429,19
6,14,Category:Computability theory,30870610,615,94,"<span class=""searchmatch"">information</span> about computability <span class=""searchmatch"">theory</span> in computer science is described in the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation article and is categorized in Category:<span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span>",2021-05-04T05:02:20Z,theories of information,Computability theory,0.9166666666666666,21
7,14,Category:Quantum information scientists,58719268,269,9,"This category is about scientists <span class=""searchmatch"">of</span> quantum <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>.",2019-06-18T22:17:15Z,theories of information,Quantum information scientists,0.7435897435897436,22
0,14,Category:Personality trait theorists,16146832,981,98,"traits influence behavior. Although trait <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> personality are currently the most dominant <span class=""searchmatch"">theories</span> in the personality literature, it was the Greek",2019-11-01T10:58:47Z,theories of intelligence,Personality trait theorists,0.9069767441860466,22
2,14,Category:Game artificial intelligence,5765514,209,0,NA,2018-01-03T20:35:48Z,theories of intelligence,Game artificial intelligence,0.7027027027027026,12
3,14,Category:Metatheory of science,25004257,188,0,"Reductionism / Determinism Rationalism / Empiricism Received view / Semantic view <span class=""searchmatch"">of</span> <span class=""searchmatch"">theories</span> Scientific realism / Anti-realism Scientific essentialism Scientific",2014-10-19T17:09:05Z,theories of intelligence,Metatheory of science,0.7941176470588236,14
4,14,Category:Philosophy of mind,772259,248,29,"Physicalism identity <span class=""searchmatch"">theory</span> Property dualism Representational Solipsism Substance dualism Concepts Abstract object Artificial <span class=""searchmatch"">intelligence</span> Chinese room Cognition",2021-04-05T10:58:40Z,theories of intelligence,Philosophy of mind,0.9444444444444444,18
0,14,Category:Solar System dynamic theories,10772136,425,44,"This category contains <span class=""searchmatch"">modern</span> (post-Newton) <span class=""searchmatch"">theories</span> about Solar System bodies, their formation, and other important, mostly cataclysmic, events that",2020-12-24T01:04:44Z,theories of modern,Solar System dynamic theories,0.8378378378378378,23
1,14,Category:String theory,962873,563,81,"as fundamental building blocks. The name string <span class=""searchmatch"">theory</span> is somewhat <span class=""searchmatch"">of</span> a misnomer since the <span class=""searchmatch"">modern</span> <span class=""searchmatch"">theory</span> also includes higher dimensional objects known",2021-01-10T19:39:14Z,theories of modern,String theory,0.875,13
